^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|1 | taprvio18  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |VIOS31  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|101 | safoap01  |Oracle Forms App Server - Sandbox  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |2  |Oracle Forms SFOR  |  | Raj Shanmugam, Moon Do, Zigor Arosa| 
|102 | paarfs01  |PTA Dedicated Archiving Server - NFS   |pgnmsv01  |  |  |Lincolnshire  |3  |yes  |powervm  |  |PTA Archiving Server  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Inge Pinnoy, Scott Ready | 
|103 | dggwdb01  |SAP Fiori, Oracle DB Server   |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |  |SAP Fiori, Oracle DB server   |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Johnny Bosmans| 
|104 | qggwdb01  |SAP Fiori, Oracle DB Server   |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |  |SAP Fiori, Oracle DB server   |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|105 | pggwdb01  |SAP Fiori, Oracle DB Server   |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |  |SAP Fiori, Oracle DB server ,PR&PO Approval, Team Calender, Approval leave request,CA requisition approval, Charms Manager  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer ,Peter Lievens, Johnny Bosmans, Bart Caerlens, Davy Reaners, Wilfried Poesen, Chris Millner and Thorsten Schimpf| 
|106 | pearfs01  |TA2 Dedicated Archiving Server - NFS   |pgnmsv01  |  |  |Lincolnshire  |3  |yes  |powervm  |  |TA2 Archiving Server  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Inge Pinnoy, Scott Ready | 
|107 | dgomdb01  |Monitoring HP OMI Development Server   |pgnmsv01  |  |  |Lincolnshire  |  |no  |N/A  |  |HP OMI Oracle DB Server  |  |Stephen Payne, John Ziegler,Todd Busniewski,Paul Caston| 
|108 | pgomdb01  |Monitoring HP-OV Production OMI Server   |pgnmsv01  |  |  |Lincolnshire  |  |no  |N/A  |  |HP OMI Oracle DB Server  |  |Stephen Payne, John Ziegler,Paul Caston| 
|109 | pgimdb01  |SAP PIM Prod,Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |SAP PIM  |  | Rick Roeber,James Farmer| 
|110 | pocafasv01  |POC system  |pgnmsv01  |  |  |lincolnshire  |  |yes  |powervm  |  |POC system  |  || 
|111 | qgsodb02  |SAP Single Sign On Test Database Server(SSO)  |pgnmsv01  |  |  |Lincolnshire  |14  |yes  |IBM powervm  |Server-8284-22A-SN21F075V  |SAP Single Sign On(SSO)  |  | GIOS SAP BASIS| 
|112 | taglkvio1  |AIX Virtualization  |pgnmsv01  |  |  |Grass Lake, Michigan   |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|113 | taglk055  |Content/Atlas Server Grass Lake  |taglknim1  |  |  |Grass Lake MI  |Atlas GPDM  |yes  |powervm  |  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready, James Greenland,John Breels| 
|114 | taglknim1  |Grass Lake  Production Network Installation Manager Server   |taglknim1  |  |  |Grass Lake MI   |Atlas GPDM  |yes  |vios  |  |IBM NIM Server  |  |GIOS Unix Team, Robert Bieniek,Chris Stachowiak,Kapilraj Koroth| 
|115 | taglkvio2  |AIX Virtualization  |pgnmsv01  |  |  |Grass Lake, Michigan  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|116 | taglk057  |Backup Content/Atlas Server Grass Lake  |taglknim1  |  |  |Grass Lake MI  |11  |yes  |IBM Power VM  |  |MaxDB,CDB,SDB,Netbackup  |  |Axel Doer,Hadi Mohammed,Scott Ready, James Greenland,John Breels| 
|117 | tamonvio1  |AIX Virtualization  |pgnmsv01  |  |  |Monroe, Michigan  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|118 | tamon055  |Content/Atlas Server Monroe  |tamonnim1  |  |  |Monroe Mi. USA  |Atlas GPDM  |yes  |powervm  |  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready, Joe Hall,John Breels| 
|119 | tamonvio2  |AIX Virtualization  |pgnmsv01  |  |  |Monroe, Michigan  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|120 | tamonnim1  |Monroe Production Network Installation Manager Server   |tamonnim1  |  |  |Monroe Mi.   |Atlas GPDM  |yes  |vios  |  |IBM NIM Server  |  |GIOS Unix Team, Robert Bieniek,Chris Stachowiak,Kapilraj Koroth| 
|121 | tamon057  |Backup Content/Atlas Server Monroe  |tamonnim1  |  |  |Monroe Mi. USA  |Atlas GPDM  |yes  |powervm  |  |MaxDB,CDB,SDB,Netbackup  |  |Axel Doer,Hadi Mohammed,Scott Ready, Joe Hall,John Breels| 
|122 | taprvio130  |Provide Virtualization for AIX/Power8  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS130  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|123 | taprvio131  |Provide Virtualization for AIX/Power8  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS131  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|124 | pocafasv04  |POC  |pgnmsv01  |  |  |Lincolnshire  |  |Yes  |PowerVM  |  |POC system for Pure Migration  |  || 
|125 | pgjbdb01  |SSP BI/BW SAP Oracle DB Server - jave based  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |SAP BI BW Business Warehouse, Oracle DB Server,Zycus-JAVA based  |  || 
|126 | tedv2d03  |ERP Sandbox SAP Internation Oracle DB Server and Central Instance  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |India-9111-520-SN106302D  |SAP International ERP SE1  |  |Henk Kiewiet,Athi,Paul Caston,Raoul Serra| 
|127 | pgasdb01  | ADS production SAP system, part of QIM landscape  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |PAS Production Adobe Print Services  |  |TAITIOSSAPBASIS,Scott Ready, Charles Frangie,Barbara Wheat,Olivier Knoderer| 
|128 | taitc103  |Combined Oracle DB for PSWB=Supply Web, PSBI - EDI GIS, PSUP -  Autosys and Production CTRIX   |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |Combined Oracle DB for PSWB,PSUP,PGIS,PCOG,PSBI,CITRIX AUTOSYS  |  || 
|129 | xsggwdb1  |  |pgnmsv01  |  |  |lincolnshire  |  |yes  |  |  | Copy of dggwdb01 Server (SAP Fiori, Oracle DB server)  |  || 
|130 | pgbcdb99  |Barcode Loftware Lable Production Primary Database Server  |pgnmsv01  |  |  |lincolnshire  |  |yes  |vios  |  |Barcode Loftware Lable Production Primary Database Server  |  || 
|131 | pgsodb01  |SAP Single Sign On Prod Database Server(PS1)  |pgnmsv01  |  |  |Lincolnshire  |8  |yes  |IBM powervm  |Server-8284-22A-SN847584V   |SAP Single Sign On(PS1)  |  | GIOS SAP BASIS, Gios Oracle DBAs| 
|132 | taprvio120  |AIX Virtualization  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|133 | taprvio121  |AIX Virtualization  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|134 | pocafasv02  |POC system  |pgnmsv01  |  |  |lincolnshire  |  |yes  |powervm  |  |POC system  |  || 
|135 | pgdmr057  |Content/Atlas Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |AtlasBackup9110-51A-SN060A7AE  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|136 | pgnmsv01  |Primary Production Network Installation Manager Server   |pgnmsv01  |  |  |lincolnshire  |6  |yes  |vios  |  |IBM NIM Server  |  |GIOS Unix Team, Robert Bieniek,Chris Stachowiak,Kapilraj Koroth| 
|137 | pgsnap03  |SAP SNC Oracle App Server  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |Global - SNC / Productionn, Application Server   |  |TAITIOSSAPBASIS,Rick Roeber, Raj Palanivel and Laurent Etienne| 
|138 | pafodb01  |Production DB Server for Oracle Forms (PFOR), Cognos (PCOG)and PTC Integration (PGCE)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |Oracle Forms (PFOR), Cognos (PCOG)and PTC Integration (PGCE)  |  |(Oracle Forms)Raj Shanmugan,Moon Do,Joe hall,Ravi Agarwal (Congos)Debbie Rodnicki,Arvind Balakrishnan,Vinodh Chandra,Humayun Kamanaur.(PTC Integration)Dave Blanck,Matt Gale| 
|139 | pgbcdb98  |Barcode Loftware Lable Standby Production Standby Database Server  |pgnmsv01  |  |  |lincolnshire  |  |yes  |vios  |  |Barcode Loftware Lable Standby Production Standby Database Server  |  || 
|140 | pocsndb01  |  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |vios  |  |Clone of dgsndb01   |  || 
|141 | sggtdb01  |Sandbox Global Trading System, Oracle DB  |pgnmsv01  |  |  |Lincolnshire  |  |yes  | IBM Power 8  |  |Sandbox Global Trading System, Oracle DB  |  || 
|142 | dgsodb01  |SAP Single Sign On(SSO)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8284-22A-SN847585V  |SAP Single Sign On(SSO)  |  | GIOS SAP BASIS| 
|143 | pgsodb02  |SAP Single Sign On Prod Database Server(PS2)  |pgnmsv01  |  |  |Lincolnshire  |12  |yes  |IBM powervm  |Server-8284-22A-SN847585V   |SAP Single Sign On(PS2)  |  | GIOS SAP BASIS, Gios Oracle DBAs| 
|144 | tapr1d01  |PTA ERP SAP Oracle DB Server and SAP Central Instance,NFS Server for PTA,FTA,CTA  |pgnmsv01  |  |  |Lincolnshire  |3  |yes  |powervm  |Server-9119-MME-SN21C49C7  |SAP ERP PTA,Oracle DB Server  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter,Scott Ready| 
|145 | taprvio160  | Unix Infrastructure - VIOS  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS160  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|146 | taprvio161  | Unix Infrastructure - VIOS  |pgnmsv01  |  |  | Lincolnshire  |  |  |powervm/vmware  |  |VIOS161  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|147 | peerdb98  |TA2 Oracle Standby DB Server dataguard replication from peerdb99   |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F390  |SAP ERP TA2 Oracle DB Server  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|148 | pggpdb01  |PLM/Atlas Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP PLP, Oracle DB Server, PLP CADVERTER Server, SAP Webdispatcher  |  |Axel Doerr, Raj Shannmogan, Rick Roeber, Graham Jones, Vatrapu Reddy, Scott Ready, Frank Sessler, Rakesh Hora, John Breels| 
|149 | pagi3p01  |Global GIS EDI App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |EDI GIS  |  | TA EDI -EDI Team, Jarek Grebieszkow| 
|150 | taprvio140  |AIX Virtualization  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|151 | taprvio141  |AIX Virtualization  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS141  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|152 | paap3p01  |PTA Gentran/Autosys/CDirect App/DB/App Server Prod  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F3A0  |EDI Gentran, Autosys, Oracle DB  |  |Moon Do,Joel Schoofs,EDI Team, Job Control| 
|153 | peerap99  |TA2 Primary Central Instance and NFS App Server (Active Pasive Cluster with peerap98)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F3A0  |SAP ERP TA2  |  |Eric Van Asbroeck,Srinivas M,John Mclean,Eugenia Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis,Andrew Ellwood,Eric Van Asbroeck,Erich Schwarz,Paul Burke,Thomas Jacob,Will Jiang, Peter Pallen, Thorsten Schimpf| 
|154 | peerdb99  |TA2 Oracle Primary DB Server dataguard replication to peerdb98  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F3A0  |SAP ERP TA2 Oracle DB Server  |  |Thorsten Schimpf,Peter Pallen,Luc Adons, Johnny Bosmans,Eric Van Asbroeck,Srinivas M,John Mclean,Ujenea Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis| 
|155 | TEPR2E01  |EU 3rd Party Severver, TA2 EDI Gentran,Autosys EU Job Scheduler  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F3A0  |EU Autosys and EDI Gentran server  |  |Prod Ctr,Joel Schoofs, Moon Do,EDI Team/CAP, Wojciech Trojan| 
|156 | taitc058  |Atlas DR for EU  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |  |  |  || 
|157 | teprvio10  | VIO UNIX Infrastructure Server  |penmsv01  |  |  |Interxion  | IBM Rack#1  | yes   |powervm  | 101260T  |VIOS10  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|158 | teprvio11  | VIO UNIX Infrastructure Server  |penmsv01  |  |  | Interxion  | IBM Rack#1  | yes   |powervm  | 101260T  |VIOS11  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|159 | dehrdb99  |Global HR SAP H1D Primary Oracle DB Server, Dataguard replication to dehrdb98,Dev env for H1P  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-8202-E4C-SN101260T  |Global HR SAP H1D Oracle DB Server  |  |Thorsten Schimp, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|160 | pehrap98  |SAP Global HR Application Server H1P-Standby Central Instance(Active/Pasive Cluster with pehrap99)   |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |  |SAP Global HR Application Server H1P,Connect Direct  |  |Danny Smeets,Athi,Paul Caston| 
|161 | pehrdb98  |SAP Global HR-H1P Standby Oracle DB Server replication via Dataguard from pehrdb99  |penmsv01  |  |  |Interxion  |11  |yes  |IBM powervm  |  |SAP Global HR Oracle DB Server H1P  |  |Olivier Knoderer, Tim Smith, Margaret Hyatt| 
|162 | dehrap98  |Global HR SAP H1D Central Instance Standby (Active/Pasive Cluster with dehrap98,Dev env for H1P)  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-8202-E4C-SN101260T  |Global HR SAP H1D  |  |Thorsten Schimp, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|163 | penmsv01  |Interxion NIM Server-Infrastructure UNIX  |pgnmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-9117-MMA-SN06BF651  |NIM - Network Instalation Manager  |  |Chris Stachowiak, Kapilraj Koroth, Robert Bieniek| 
|164 | pocpuresv01  |H1T Central Instance HR/EU Oracle DB Server   |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-9117-MMA-SN06BF651  |SAP HR H1T,SME,Oracle DB Server  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,Carolyn Royce,Joann Aronis,Shane Richter,TaitiosSapbasis| 
|165 | sehrdb01  |Global HR SAP Sandbox  |penmsv01  |740  |  |Interxion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |SAP H1S  |  |GIOS SAP BASIS| 
|166 | teprvio20  | VIO UNIX Infrastructure Server  |penmsv01  |  |  |Interxion  |  |Yes  |powervm  |Server-8205-E6C-SN101261T  |VIOS20  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|167 | teprvio21  | VIO UNIX Infrastructure Server  |penmsv01  |  |  |Interxion  |  |Yes  |powervm  |Server-8205-E6C-SN101261T  |VIOS20  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|168 | pehrdb99  |SAP Global HR-H1P Primary Oracle DB Server replication via Dataguard to pehrdb98  |penmsv01  |  |  |Interxion  |11  |yes  |IBM powervm  |  |SAP Global HR oracle DB Server H1P  |  |Olivier Knoderer, Tim Smith, Margaret Hyatt| 
|169 | pehrap99  |SAP Global HR Application Server H1P-Primary Central Instance(Active/Pasive Cluster with pehrap98)   |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |  |SAP Global HR Application Server H1P,Connect Direct  |  |Olivier Knoderer, Tim Smith, Carolyn Royce,Shane Richter,Joann Aronis,Margaret Hyatt| 
|170 | pehrap01  |SAP Global HR Application Server H1P  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |  |SAP Global HR Application Server H1P  |  |Olivier Knoderer, Tim Smith, Margaret Hyatt, BRM Shane Richter, Joann Aronis, Carolyn Royce| 
|171 | qehrdb01  |H1T Central Instance HR/EU Oracle DB Server   |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-9117-MMA-SN06BF651  |SAP HR H1T,SME,Oracle DB Server  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,Carolyn Royce,Joann Aronis,Shane Richter,TaitiosSapbasis| 
|172 | qehrap01  |SAP H1T HR/EU App Server  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-9117-MMA-SN06BF651  |SAP HR H1T Application Server  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|173 | dehrdb98  |Global HR SAP H1D Standby Oracle DB Server, Dataguard replication to dehrdb98,Dev env for H1P  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |Global HR SAP H1D Oracle DB Server  |  |Thorsten Schimp, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|174 | dehrap99  |Global HR SAP H1D Central Instance Primary (Active/Pasive Cluster with dehrap98,Dev env for H1P)  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |Global HR SAP H1D  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,Carolyn Royce,Joann Aronis,Shane Richter,TaitiosSapbasis| 
|175 | dehrap01  |Global HR Development SAP App Server,Dev env for H1P  |penmsv01  |  |  |Interxion  |11  |yes  |powervm  |Server-8205-E6C-SN101261T  |Global HR SAP H1D Application Server  |  |Thorsten Schimpf, Johnny Bosmans,Danny Raskin,TaitiosSapbasis| 
|176 | taede055  |Content/Atlas Server Edenkoben  |penmsv01  |  |  |Edenkoben  |11  |yes  |powervm  |AtlasContent-9133-55A-SN651D47H  |CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready,Diane Onan| 
|177 | taryb055  |Content/Atlas Server Rybnik  |penmsv01bck  |  |  |Rybnik, Poland  |Atlas GPDM  |yes  |powervm  |AtlasContent-9133-55A-SN651D39H  |MaxDB,CDB,SDB  |  |Axel Doer,Hadi Mohammed,Scott Ready| 
|178 | taestr006  |SAS Sint Troiden Server, SAP DETEC TA2 SAP SPECIAL FORMS PRINT SERVER  |penmsv01  |  |  |Sint Truiden  |11  |no  |LPAR  |Server-8231-E1D-SN849E58V  |SAS, DETEC TA2 PRINT SERVER, Data Direct (Progress) ODBC Driver  |  |Guido Leyssen,Luc Knoops,TAITIOSSAPBASIS-for DETEK PRINTER| 
|179 | ITCLAP01.na.ten  |ITCHOME GIOS Intranet Web Server  |N/A  |Compaq Pentium III CPU family  |  |Lincolnshire  |1  |no  |N/A  |  |Apache, MySQL, MRTG, GIOS ITCHOME, Unixdocs repository   |  |Steve Satkiewicz, Mike Maratta, taunix, Moon Do| 
|180 | pglgsv01  |Unix Centralized Log Server 1  |  |  |  |Lincolnshire   |  |  |  |  |Unix syslogd  |  |ta-unix@tenneco.com| 
|181 | munnbuhmams  |Munich Netbackup appliance  |  |  |  |Munich  |  |No  |N/A  |munnbuhmams  |Netbackup   |  || 
|182 | mognbuhmams  |Santa Luzia Netbackup appliance  |  |  |  |Santa Luzia, Brazil  |  |  |  |mognbuhmams  |Netbackup  |  || 
|183 | taitc125  |PBX AVAYS Master Control Support Server  |N/A  |x86  |  |Lincolnshire  |1  |yes  |vmware  |  | AVAYA SAL Application  |  || 
|184 | taitc126  |3rd party SAL server  |  |  |  |Lincolnshire  |  |Yes  |VMWare  |  |SAL server  |  || 
|185 | pgunap01  |Production Unisphere server for VMAX  |  |VMWARE  |  |Lincolnshire  |  |yes  |vmware  |  |Unisphere  |  |Kapilraj Koroth,Pawel Tkaczyk| 
|186 | relay1  |Reverse Proxy server 1  |  |  |  |Lincolnshire  |  |  |  |  |Apache HTTPD  |  |Steve Satkiewicz,Scott Knabe| 
|187 | relay2  |Reverse Proxy server 2   |  |  |  |Lincolnshire  |  |  |  |  |Apache HTTPD  |  |Steve Satkiewicz, Scott Knabe| 
|188 | ns1  |DMZ DNS Server 1   |  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |DNS  |  |Steve Satkiewicz,Scott Knabe| 
|189 | ns2  |DMZ DNS server 2  |  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |DNS  |  |Steve Satkiewicz,Scott Knabe| 
|190 | padbws01  | Discussion Board production Web Server  | taitc118  | RedHat Enterprise  |  | Lincolnshire DMZ  |  | yes  |vmware  |  |Apache, httpd  |  |Chidam Kandasamy,Denise Hanefeld,Joe Bacarella| 
|191 | dadbws01  | Discussion Board development Web Server  | taitc118  | RedHat Enterprise  |  | Lincolnshire DMZ  |  | yes  |vmware  |  |Apache, httpd  |  | Chidam Kandasamy,Denise Hanefeld,Joe Bacarella| 
|192 | paitap02  |DBA Admin script server  |N/A  |  |  |Lincolnshire  |1  |yes  |vmware  |  |Oracle DB run state maintenance scripts  |  |Zigor Arosa,Kempe Gowda,Jose Peris| 
|193 | pgitap01  |GIOS Unix Monitoring - Web server  |  |VmWAre  |  |Lincolnshire  |  |yes  |vmware  |  |Apache,httpd  |  |Chris stachowiak,Kapilraj Koroth,Robert Bieniek| 
|194 | taqa1a03  |UUMA Application server  |  |VMWARE  |Virtual  |Lincolnshire  |11  |yes  |vmware  |taitc320  |Unix User Management App  |  || 
|195 | salnxsv01  |  |  |  |  |  |  |  |  |  |  |  || 
|196 | salnxsv02  |Sandbox  |  |  |  |LDC  |Unix  |Yes  |VMWare  |taitc320  |Network  |  || 
|197 | salnxsv03  |Sandbox  |  |  |  |LDC  |Unix  |Yes  |VMWare  |taitc320  |Network  |  || 
|198 | salnxsv04  |  |  |  |  |  |  |  |  |  |  |  || 
|199 | salnxsv05  |  |  |  |  |Lincolnshire  |  |Yes  |VMWare  |  |  |  || 
|200 | taqa1a04  |UUMA Application server  |  |VMWARE  |Virtual  |Lincolnshire  |11  |yes  |vmware  |taitc320  |Unix User Management App  |  || 
|201 | taitc490  |Lincolnshire Log Forwarder Server Splunk  |taitc118  | RedHat Enterprise  |  |Lincolnshire  |  | yes  |vmware  |  |Splunk  |  |SecurityTeamTenneco| 
|202 | pablsv02  |Infrastructure Server - Redhat build.  |pgnmsv01  |  |  |Lincolnshire  |  |No  |  |  |  |  || 
|203 | pgntap01  |Production Network Team Jump Server  |  |  |  |lincolnshire  |  |yes  |VMWare  |  | Network Jump Server  |  || 
|204 | taitc491  |Interxion Log Forwarder Server Splunk   |penmsv01   | RedHat Enterprise  |  |Interxion   |  | yes  |vmware  |  |Splunk  |  |SecurityTeamTenneco| 
|205 | taitc496  |Squid Proxy for Internet access  |  |  |  |Interxion  |  |Yes  |VMWARE  |  |Squid  |  || 
|206 | pgunap02  |Storage Team Admin Server  |  |VMWARE  |  |Interexion  |  |yes  |vmware  |  |Storage  |  |Kapilraj Koroth,Pawel Tkaczyk| 
|207 | pgntpap02  |Linux NTP server  |pgnmsv01  |  |  |Interexion  |  |  |VMWARE  |  |Interexion Linux NTP server  |  || 
|208 | petxap01  |application for Tax purpose in Europe  |penmsv01  |  |  |Interexion  |  |  |  |  |Taxes VAT JPK  |  || 
|209 | taros492  | Log Forwarder Server Splunk  |taitc118  | RedHat Enterprise  |  |Lincolnshire  |  | yes  |vmware  |  |Splunk  |  || 
|210 | tasha493  |Forwarder  |N/A  |  |  |Shanghai  |  |yes  |vmware  |  |Splunk  |  || 
|211 | pgntpap03  |  |pgnmsv01  |  |  |Shanghai  |  |  |VMWARE  |  |Shanghai Linux NTP server  |  || 
|212 | taitc495  |Squid Proxy for Internet access  |  |  |  |Lincolnshire  |  |Yes  |VMWARE  |  |Squid  |  || 
|213 | pglgsv02  |  |  |  |  |  |  |  |  |  |  |  || 
|214 | dgomcn01  |Temporary  |  |  |  |Lincolnshire  |  |Yes  |VMWare  |  |OMi  |  || 
|215 | pgomcn01  |  |  |  |  |Lincolnshire  |  |Yes  |VMWARE  |  |Omi  |  || 
|216 | dgomgw01  |  |  |  |  |Lincolnshire  |  |  |  |  | OMI gateway server  |  || 
|217 | dgomdp01  |  |  |  |  |Lincolnshire  |  |  |  |  | OMI data processing server  |  || 
|218 | pgomgw01  |  |  |  |  |Lincolnshire  |  |Yes  |VMWare  |  |  |  || 
|219 | pgomdp01  |  |  |  |  |Lincolnshire  |  |Yes  |VMWare  |  |  |  || 
|220 | daerap01h  |SAP CTA ERP App Server  |  |  |  |Lincolnshire  |  |  |  |  |SAP ERP CTA  |  || 
|221 | deerap01h  | SAP C11 ERP App Server  |  |  |  |Lincolnshire  |  |  |  |  | C11 ERP SAP application server  |  || 
|222 | qeerap01h  |IT0 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP IT0 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
|223 | peerap01h  |TA2 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP TA2 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
|224 | peerap02h  |TA2 SAP ERP App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |VMWARE  |  |SAP TA2 Application Server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewie| 
